name,price,speed,modules,color,cas_latency
Patriot Viper Xtreme 5 48 GB,166.99,"5,8200","2,24",Black,38
Crucial CT16G4DFRA32A 16 GB,51.73,"4,3200","1,16",Green,22
Corsair Vengeance RGB Pro 64 GB,985.37,"4,3200","4,16",Black,16
Patriot Signature 8 GB,18.98,"3,1600","1,8",Black / Green,11
G.Skill Ripjaws S5 64 GB,229.99,"5,6400","2,32",Black,32
Patriot Viper Steel 32 GB,64.99,"4,3600","2,16",Silver / Black,18
Kingston FURY Beast 16 GB,55.79,"5,5200","2,8",Black / Silver,36
Crucial CT2K32G48C40U5 64 GB,168.99,"5,4800","2,32",Black,40
Corsair Vengeance RGB 32 GB,114.99,"5,5600","2,16",Black / Gray,40
G.Skill Trident Z RGB 256 GB,693.05,"4,3600","8,32",,16
TEAMGROUP T-Create Expert 32 GB,81.99,"5,5600","2,16",White,38
G.Skill Trident Z RGB 128 GB,464.43,"4,4000","4,32",Black,18
Patriot Viper Venom 64 GB,149.99,"5,5600","2,32",Black / White,36
PNY XLR8 16 GB,32.99,"4,3600","2,8",Black,18
Corsair Vengeance RGB Pro 64 GB,511,"4,3200","2,32",Black,16
Corsair Dominator Platinum RGB 32 GB,172.99,"5,6200","2,16",White,36
TEAMGROUP T-Force DELTAα RGB 16 GB,77.99,"5,6000","2,8",Black,38
G.Skill Trident Z5 Royal 48 GB,297.99,"5,8400","2,24",Gold,40
G.Skill Trident Z5 Neo RGB 32 GB,99.99,"5,6000","2,16",Black,36
OLOy MD4U083016BJDA 16 GB,34.99,"4,3000","2,8",Black,16
Kingston FURY Beast RGB 32 GB,137.73,"5,5600","2,16",Black,36
G.Skill Trident Z Neo 16 GB,64.98,"4,3600","2,8",Black / Silver,16
Kingston FURY Beast RGB 16 GB,72.69,"5,5600","2,8",Black,40
G.Skill Trident Z5 Neo RGB 32 GB,136.99,"5,6400","2,16",Black,30
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"4,3200","2,8",Black,16
G.Skill Trident Z5 Neo RGB 32 GB,139.99,"5,6000","2,16",Silver / Black,28
Silicon Power XPOWER Storm RGB 32 GB,83.99,"5,6000","2,16",Gray,36
TEAMGROUP T-Create Expert 16 GB,40.99,"4,3600","2,8",Gray,18
Kingston FURY Beast RGB 16 GB,78.98,"5,6000","2,8",Black,30
G.Skill Ripjaws S5 32 GB,104.99,"5,6000","2,16",Black,30
TEAMGROUP T-Create Expert 32 GB,89.99,"5,6400","2,16",White,32
Corsair Dominator Titanium 48 GB,258.99,"5,7600","2,24",Black,36
Patriot Viper Venom 32 GB,89.99,"5,6200","2,16",Black / White,40
PNY XLR8 Gaming EPIC-X RGB 16 GB,43.99,"4,3200","2,8",Black,16
Corsair Vengeance RGB Pro SL 32 GB,109.99,"4,3600","2,16",Black,18
Silicon Power XPOWER Zenith RGB Gaming 64 GB,169.99,"5,6000","2,32",Black,30
Corsair Vengeance 32 GB,96.99,"5,5200","2,16",White,40
G.Skill Trident Z RGB 256 GB,899,"4,2666","8,32",Black,18
Kingston FURY Beast 16 GB,49,"4,3600","2,8",Black,17
Corsair Vengeance 32 GB,82.99,"5,5200","1,32",Black,40
TEAMGROUP T-Force Delta RGB 32 GB,92.99,"5,6000","2,16",Black,38
Silicon Power XPOWER Zenith RGB Gaming 16 GB,39.97,"4,3600","2,8",Black,18
ADATA XPG SPECTRIX D50 16 GB,69.98,"4,3200","2,8",White,16
Crucial CT32G56C46U5 32 GB,70.29,"5,5600","1,32",Black,46
G.Skill Ripjaws X 16 GB,36.99,"3,1600","2,8",Black / Red,10
G.Skill Trident Z5 Neo RGB 48 GB,179.99,"5,6400","2,24",Black,32
G.Skill Ripjaws M5 RGB 64 GB,214.99,"5,6000","2,32",White,30
Kingston FURY Beast 64 GB,203,"5,5600","2,32",Black,36
Kingston FURY Beast 16 GB,49.99,"5,5200","1,16",Black / Silver,40
Corsair Vengeance LPX 32 GB,109.99,"4,3600","4,8",Black / Yellow,18
Crucial Pro 48 GB,123.99,"5,6000","2,24",Black,48
TEAMGROUP T-Force Vulcan 32 GB,94.49,"5,6400","2,16",Black / Silver,32
G.Skill Ripjaws V 64 GB,157.99,"4,3600","2,32",Black,18
Crucial CT2K16G4DFRA32A 32 GB,99.99,"4,3200","2,16",Green / Black,22
Kingston FURY Beast 32 GB,131.19,"5,6000","2,16",Black,30
TEAMGROUP T-Force Vulcan Z 16 GB,59,"4,3200","2,8",Red,16
Patriot Viper Steel 16 GB,43.98,"4,3200","2,8",Silver / Black,16
G.Skill Trident Z Royal 32 GB,99.99,"4,3600","2,16",Silver,19
G.Skill Ripjaws S5 96 GB,309.99,"5,6800","2,48",Black,34
G.Skill Trident Z5 Royal 96 GB,319.99,"5,6400","2,48",Silver,32
G.Skill Trident Z5 Neo RGB 64 GB,169.99,"5,6000","2,32",Black,36
G.Skill Flare X5 32 GB,84.99,"5,5600","2,16",Black,36
Corsair Vengeance LPX 16 GB,70.4,"4,2133","2,8",Black / Yellow,13
Corsair Vengeance RGB 32 GB,140.99,"5,6200","2,16",White,36
Corsair Vengeance RGB 32 GB,126.71,"5,7200","2,16",Black,34
TEAMGROUP Elite Plus 16 GB,41.99,"5,6000","1,16",Black,40
Corsair Dominator Titanium 96 GB,470.99,"5,6400","4,24",Black,32
TEAMGROUP T-Create Expert 48 GB,139.99,"5,6400","2,24",White,32
G.Skill Ripjaws V 16 GB,42.99,"4,3200","1,16",Black,16
G.Skill Trident Z5 Neo RGB 32 GB,164.99,"5,8000","2,16",Black,38
Patriot Viper Elite 5 RGB 16 GB,47.99,"5,6000","1,16",White,42
V-Color TRA564G60D436O 512 GB,3737.49,"5,6000","8,64",Black,36
G.Skill Trident Z5 Neo RGB 64 GB,249.99,"5,6000","2,32",Silver / Black,30
Corsair Dominator Platinum RGB 64 GB,319.99,"5,6800","2,32",Black,40
Corsair Dominator Titanium 48 GB,251.99,"5,7200","2,24",White,36
G.Skill Ripjaws V 64 GB,159.99,"4,3200","4,16",Black,16
G.Skill Ripjaws M5 RGB 64 GB,229.99,"5,6400","2,32",White,32
OLOy MD4U083216BJDA 16 GB,44.99,"4,3200","2,8",Black,16
Kingston FURY Beast 64 GB,245.63,"5,6000","2,32",White,30
Corsair Vengeance RGB Pro 32 GB,103.99,"4,3600","2,16",Black,18
Corsair Vengeance RGB 48 GB,189.99,"5,6000","2,24",Black / Gray,30
TEAMGROUP T-Create Expert 48 GB,168.99,"5,7200","2,24",Black,34
Kingston FURY Beast 32 GB,113.99,"5,5200","2,16",Black,36
G.Skill Ripjaws M5 Neo RGB 96 GB,309.99,"5,6000","2,48",White,30
Corsair Vengeance RGB 96 GB,358.99,"5,6600","2,48",Black / Silver,32
G.Skill Trident Z5 RGB 64 GB,239.99,"5,6400","2,32",White / Black,32
Corsair Vengeance LPX 16 GB,73.98,"4,2400","2,8",Black / Yellow,16
Crucial CT32G48C40U5 32 GB,69.98,"5,4800","1,32",Black,40
TEAMGROUP T-Force Vulcan Eco 32 GB,96.99,"5,6000","2,16",Silver,30
G.Skill Aegis 16 GB,33.99,"4,3200","1,16",Red / Black,16
Corsair Vengeance 64 GB,162.99,"5,5200","2,32",White,40
TEAMGROUP T-Force Delta RGB 32 GB,129.99,"5,7200","2,16",White / Gray,34
Corsair Dominator Titanium 32 GB,215.99,"5,7200","2,16",Black,34
Kingston Server Premier 32 GB,158.72,"4,3200","1,32",,22
ADATA XPG LANCER RGB 32 GB,149.99,"5,6400","2,16",White,32
G.Skill Aegis 8 GB,27.64,"4,3200","1,8",Red / Black,16
Corsair Vengeance 64 GB,190.99,"5,6000","2,32",Black,38
G.Skill Trident Z5 Royal Neo RGB 32 GB,179.99,"5,8000","2,16",Silver,38
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3600","2,8",Red,18
Corsair Vengeance 32 GB,110.99,"5,6000","2,16",White,36
G.Skill Ripjaws M5 RGB 64 GB,214.99,"5,6000","2,32",Black,30
Corsair Dominator Titanium 32 GB,179.99,"5,7200","2,16",White,34
Kingston FURY Beast 16 GB,89.65,"5,6000","1,16",Black,30
Corsair Vengeance LPX 64 GB,179.99,"4,3200","4,16",Black / Yellow,16
Corsair Vengeance RGB 64 GB,317.99,"5,6600","4,16",Black / Gray,32
G.Skill F5-6000J3636F32GX2-FX5 64 GB,154.99,"5,6000","2,32",Black,36
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",White,30
G.Skill Trident Z5 RGB 32 GB,109.99,"5,5600","2,16",Black,28
Kingston FURY Beast 64 GB,259.99,"5,6400","2,32",Black,32
Patriot Viper Elite II 32 GB,94.99,"4,4000","2,16",Red / Black,20
G.Skill Trident Z Neo 64 GB,214.99,"4,3600","4,16",Black / Silver,16
Corsair Vengeance RGB 64 GB,259.99,"5,6000","2,32",White / Gray,30
TEAMGROUP T-Force Vulcan 16 GB,52.99,"5,5200","2,8",Black,40
Corsair Vengeance 96 GB,245.99,"5,5600","2,48",Black,40
Corsair Vengeance 32 GB,114.99,"5,6400","2,16",Black / Gray,32
Corsair Vengeance RGB 64 GB,269.99,"5,6600","2,32",Black / Gray,32
Corsair Dominator Titanium 32 GB,189.99,"5,6600","2,16",Black,32
G.Skill Trident Z RGB 32 GB,97.99,"4,3600","2,16",Black,16
G.Skill Trident Z RGB 64 GB,169.99,"4,4000","2,32",Black,18
Silicon Power XPOWER Zenith RGB Gaming 32 GB,72.98,"4,3600","2,16",Black,18
G.Skill Trident Z5 Royal Neo RGB 32 GB,179.99,"5,6000","2,16",Gold,28
Corsair Vengeance 64 GB,299.99,"5,6600","4,16",Black / Gray,32
G.Skill Trident Z5 RGB 64 GB,169.99,"5,6000","2,32",White / Black,36
Silicon Power XPOWER Storm RGB 32 GB,99.97,"5,7200","2,16",Black,34
G.Skill Ripjaws X 8 GB,32.52,"3,1600","2,4",Black / Red,9
Corsair Vengeance RGB RS 16 GB,82.99,"4,3200","2,8",Black / Gray,16
Patriot Viper Venom 64 GB,144.99,"5,5200","2,32",Black / White,40
Corsair Vengeance LPX 32 GB,100.36,"4,3200","4,8",Black / Yellow,16
Timetec PINNACLE Konduit 8 GB,17.99,"4,3600","1,8",White,18
G.Skill Flare X5 256 GB,779.99,"5,6000","4,64",Black,36
Corsair Vengeance 32 GB,96.99,"5,5200","2,16",Gray,40
Corsair Dominator Platinum RGB 32 GB,171.99,"5,6000","2,16",Black,30
Crucial Pro 48 GB,105.08,"5,5600","2,24",Black,46
TEAMGROUP T-Create Expert 96 GB,291.99,"5,6400","2,48",White,32
Corsair Vengeance 96 GB,285.99,"5,5600","4,24",Black / Silver,40
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",Gray,36
Patriot Viper Xtreme 5 RGB 48 GB,168.98,"5,8000","2,24",Black,38
Kingston FURY Beast 64 GB,149.99,"4,3200","2,32",Black / Silver,16
Patriot Signature Line 8 GB,27.98,"5,4800","1,8",Black,40
G.Skill Ripjaws M5 RGB 48 GB,109.99,"5,5200","2,24",Black,40
TEAMGROUP T-Force Delta RGB 16 GB,77.99,"5,6000","2,8",Black,38
G.Skill Trident Z5 RGB 32 GB,154.99,"5,7800","2,16",Black,36
G.Skill Aegis 8 GB,27.38,"4,3000","1,8",Black / Red,16
TEAMGROUP T-Create Expert 32 GB,80.99,"5,5600","2,16",Black / Gold,38
Patriot Viper Elite II 16 GB,49.99,"4,4000","2,8",Red / Black,20
Timetec 75TT133U2R8-8G 8 GB,11.99,"3,1333","1,8",Green / Black,9
TEAMGROUP T-Force Vulcan 32 GB,79.99,"5,6000","2,16",Black,38
Corsair Dominator Platinum RGB 64 GB,289.99,"5,6000","2,32",Black,30
Corsair Vengeance RGB Pro 32 GB,109,"4,3200","2,16",Black,16
Corsair Vengeance 64 GB,195.99,"5,6000","2,32",Gray,40
G.Skill Ripjaws M5 RGB 32 GB,114.99,"5,6000","2,16",Black,30
Crucial CT2K16G56C46S5 32 GB,77.99,"5,5600","2,16",Black,46
Corsair Vengeance RGB 64 GB,275.99,"5,6000","4,16",Black,36
Kingston FURY Beast RGB 32 GB,129.75,"5,6000","2,16",Black,36
TEAMGROUP T-Force Delta RGB 32 GB,90.99,"5,5600","2,16",White,36
Kingston FURY Beast RGB 16 GB,63.99,"5,5200","2,8",Black,40
G.Skill Trident Z5 RGB 96 GB,349.99,"5,6400","2,48",White / Black,32
G.Skill Trident Z5 Royal 32 GB,156.99,"5,7200","2,16",Silver,34
Patriot Viper Steel 16 GB,47.99,"4,3600","2,8",Gray,18
G.Skill Ripjaws V 16 GB,39.99,"4,3200","2,8",Red,16
Corsair Vengeance RGB Pro SL 16 GB,102.99,"4,3600","2,8",Black,18
TEAMGROUP Elite 16 GB,49.99,"5,4800","2,8",Black,40
TEAMGROUP T-Force Delta RGB 32 GB,90.99,"5,5600","2,16",Black,36
Patriot Viper Venom 32 GB,114.99,"5,7200","2,16",Black / White,34
Corsair Vengeance 64 GB,154.99,"5,4800","2,32",Black,40
Corsair Vengeance 96 GB,349.99,"5,6600","2,48",Black / Silver,32
Silicon Power XPOWER Pulse Gaming 64 GB,169.99,"5,6000","2,32",Black / White,30
Corsair Vengeance RGB 48 GB,144.99,"5,6000","2,24",Black / Silver,36
Corsair Dominator Titanium 32 GB,209.99,"5,7000","2,16",White,34
Patriot Signature Premium 16 GB,41.99,"4,2666","1,16",Black,19
Patriot Viper Xtreme 5 48 GB,159.99,"5,7600","2,24",Black,36
TEAMGROUP T-Force Vulcan 32 GB,82.99,"5,6000","2,16",Red,38
Patriot Signature 8 GB,14.99,"3,1600","1,8",Blue / Silver,11
Mushkin Redline ST 64 GB,209.99,"5,6400","2,32",Black,30
ADATA XPG SPECTRIX D60G 16 GB,39.99,"4,3200","2,8",,16
Patriot Viper Xtreme 5 32 GB,109.99,"5,7600","2,16",Black,36
Corsair Vengeance 96 GB,229.99,"5,5200","2,48",Black,38
G.Skill Ripjaws S5 32 GB,99.99,"5,6000","2,16",Black,32
G.Skill Ripjaws S5 48 GB,129.99,"5,6400","2,24",Black,36
G.Skill Aegis 32 GB,68.98,"4,3000","2,16",Red / Black,16
Patriot Viper Steel 16 GB,41.99,"4,3200","1,16",Silver / Black,16
Patriot Viper Steel RGB 32 GB,95.99,"4,3600","2,16",Black,20
Corsair Vengeance LPX 16 GB,64.98,"4,3000","1,16",Black,16
G.Skill Trident Z Neo 64 GB,179.99,"4,3600","2,32",Black / Silver,16
Patriot Viper Elite 5 RGB TUF GAMING ALLIANCE 48 GB,129.99,"5,6000","2,24",White,36
Corsair Vengeance RGB RT 32 GB,119.99,"4,3600","2,16",Black,16
Silicon Power XPOWER Pulse Gaming 64 GB,147.99,"5,6000","2,32",Black,38
Patriot Viper Elite 5 RGB 32 GB,81.99,"5,5600","1,32",White,38
Patriot Viper Elite 5 RGB TUF GAMING ALLIANCE 32 GB,97.99,"5,6000","2,16",White,36
Kingston FURY Renegade 96 GB,289.95,"5,6000","2,48",Silver / Black,32
Kingston Fury Renegade RGB 32 GB,169,"5,6400","2,16",Silver / Black,32
TEAMGROUP T-Create Expert 64 GB,176.99,"5,6000","2,32",White,34
TEAMGROUP Xtreem 48 GB,237.99,"5,8200","2,24",Black,38
Patriot Viper Elite 5 RGB TUF GAMING ALLIANCE 32 GB,104.99,"5,6600","2,16",White,34
Corsair Vengeance 32 GB,164.99,"5,7200","2,16",Gray,34
Corsair Vengeance LPX 16 GB,37.21,"4,3000","2,8",White,16
Corsair Vengeance RGB 64 GB,236.99,"5,5600","4,16",Black / Gray,36
TEAMGROUP T-Create Expert 32 GB,87.99,"5,6000","2,16",White,38
Corsair Dominator Titanium 96 GB,419.99,"5,6400","2,48",Black,32
Corsair Dominator Titanium 96 GB,465.99,"5,6000","4,24",Black,30
TEAMGROUP Elite 16 GB,16.98,"3,1600","2,8",Black,11
G.Skill Trident Z5 Neo RGB 96 GB,424.99,"5,6000","2,48",Silver / Black,28
Corsair Dominator Platinum RGB 32 GB,137.96,"4,3200","2,16",Black,16
G.Skill Trident Z5 RGB 32 GB,119.99,"5,6400","2,16",White / Black,32
G.Skill Ripjaws M5 RGB 96 GB,187.99,"5,5200","2,48",White,40
Corsair Dominator Platinum RGB 64 GB,229.99,"5,5600","2,32",White,40
Klevv CRAS X RGB 16 GB,49.99,"4,3200","2,8",Black,16
ADATA XPG Lancer Blade RGB 32 GB,189.98,"5,6400","2,16",Black,32
Kingston FURY Beast 32 GB,100.43,"5,5600","1,32",Black,40
Kingston FURY Beast 8 GB,45.33,"5,6000","1,8",Black,30
Silicon Power XPOWER Zenith RGB Gaming 32 GB,97.99,"5,6000","2,16",Black,30
Kingston FURY Beast 64 GB,188.99,"5,5600","2,32",Black,40
Corsair Dominator Titanium 32 GB,189.99,"5,6600","2,16",White,32
G.Skill Trident Z5 Royal Neo RGB 48 GB,239.99,"5,8000","2,24",Silver,40
TEAMGROUP Elite 8 GB,24.55,"4,3200","1,8",Black,22
Crucial CT25664AA667 2 GB,11,"2,667","1,2",Green,5
Crucial CT2K32G4DFD832A 64 GB,189.99,"4,3200","2,32",Green / Black,22
Corsair Vengeance RGB Pro 16 GB,67.98,"4,3600","2,8",White,18
Corsair Vengeance RGB Pro 32 GB,119.99,"4,3200","4,8",White,16
G.Skill Ripjaws M5 RGB 96 GB,319.99,"5,6400","2,48",White,32
Lexar Ares RGB 16 GB,44.99,"4,3600","2,8",Black,18
PNY XLR8 Gaming Low Profile 32 GB,69.98,"4,3200","2,16",Black / Red,16
Corsair Vengeance LPX 8 GB,34.99,"4,2400","2,4",Black / Yellow,16
Crucial CT4G4DFS824A 4 GB,13.99,"4,2400","1,4",Black / Green,17
G.Skill Flare X5 64 GB,159.99,"5,5600","2,32",Black / White,36
G.Skill Trident Z5 32 GB,114.99,"5,6400","2,16",Black,32
Corsair Vengeance LPX 8 GB,45.99,"4,3200","1,8",Black,16
G.Skill Trident Z RGB 32 GB,82.99,"4,3200","2,16",Black,16
Corsair Vengeance LPX 16 GB,91.99,"4,3200","2,8",Black,16
Corsair Vengeance RGB RS 32 GB,94.99,"4,3600","2,16",Black / Gray,18
Corsair Vengeance LPX 32 GB,124.99,"4,2666","2,16",Black / Yellow,16
G.Skill Trident Z5 RGB 48 GB,164.99,"5,6400","2,24",Black,32
PNY XLR8 Gaming MAKO 32 GB,109.99,"5,6000","2,16",Black,40
TEAMGROUP T-Force Delta RGB 32 GB,159.99,"5,8000","2,16",White,38
G.Skill Trident Z5 RGB 32 GB,99.99,"5,6000","2,16",White / Black,36
Kingston FURY Beast 32 GB,139.99,"5,6400","2,16",Black,32
G.Skill Ripjaws V 128 GB,268.99,"4,3200","4,32",Black,16
G.Skill Trident Z5 RGB 48 GB,229.99,"5,8200","2,24",Black,40
Patriot Viper Venom RGB 32 GB,89.99,"5,5600","1,32",Black / White,36
Kingston FURY Beast 16 GB,55.8,"5,5600","1,16",Black,40
Kingston FURY Beast 16 GB,65.98,"5,5600","2,8",Black,40
G.Skill Ripjaws V 64 GB,159.99,"4,4000","2,32",Black,18
Kingston FURY Beast 32 GB,137,"4,3200","1,32",Black,16
Patriot Viper Venom 16 GB,47.99,"5,5600","1,16",Black / White,36
G.Skill Trident Z5 Royal 32 GB,139.99,"5,6400","2,16",Silver,32
Lexar Ares RGB 32 GB,269.95,"5,6400","2,16",White,32
Kingston FURY Beast RGB 16 GB,74.38,"5,5600","2,8",Black,36
Kingston FURY Beast RGB 16 GB,134.27,"4,3200","2,8",Black,16
G.Skill Aegis 32 GB,73.16,"4,3200","4,8",Red / Black,16
Kingston Fury Renegade RGB 48 GB,214.18,"5,6400","1,48",Silver / Black,32
Corsair Vengeance RGB 32 GB,155.99,"5,6400","2,16",White / Silver,32
Corsair Vengeance RGB 96 GB,254.99,"5,5600","2,48",Black,40
Corsair Dominator Titanium 96 GB,419.99,"5,6400","2,48",White,32
Timetec PINNACLE Konduit 16 GB,30.99,"4,3200","1,16",Black,16
Kingston FURY Beast RGB 32 GB,111.83,"5,5200","2,16",Black,40
Timetec PINNACLE Konduit 8 GB,17.99,"4,3200","1,8",Black,16
Corsair Vengeance LPX 256 GB,670.31,"4,3600","8,32",Black / Yellow,18
G.Skill Trident Z5 RGB 64 GB,219.99,"5,6000","2,32",White / Black,30
Crucial CT64G4LFQ424A 64 GB,159.99,"4,2400","1,64",Black / Green,17
Corsair Vengeance RGB 64 GB,202.99,"5,6000","2,32",Black,38
G.Skill Flare X5 32 GB,112.99,"5,6400","2,16",Black,32
Samsung M378B5173DB0-CK0 4 GB,18.89,"3,1600","1,4",Green,11
Patriot Viper Steel 8 GB,23.98,"4,3200","1,8",Silver / Black,16
G.Skill Ripjaws M5 RGB 32 GB,97.99,"5,6400","2,16",White,36
Kingston FURY Beast 128 GB,330.65,"5,5600","2,64",Black,40
Corsair Dominator Titanium 64 GB,329.99,"5,6000","4,16",White,36
TEAMGROUP T-Create Expert 32 GB,116.99,"5,7200","2,16",White,34
Corsair Vengeance RGB 48 GB,156.99,"5,6000","2,24",Black / Silver,36
TEAMGROUP T-Force Delta RGB 48 GB,156.99,"5,6400","2,24",Black,32
Patriot Viper Elite II 32 GB,84.99,"4,3600","2,16",Red / Black,20
G.Skill Ripjaws V 16 GB,39.99,"4,2400","2,8",Black / Red,15
Corsair Vengeance LPX 16 GB,91.99,"4,3600","2,8",Black / Yellow,18
ADATA XPG Lancer Blade 32 GB,149.28,"5,6400","2,16",Black,32
ADATA XPG SPECTRIX D50 32 GB,109.99,"4,3200","2,16",White,16
TEAMGROUP T-Force Vulcan 32 GB,96.99,"5,6000","2,16",Red,30
Corsair Dominator Titanium 48 GB,209.99,"5,6000","2,24",White,30
Corsair Vengeance 64 GB,264.99,"5,6000","4,16",Black,36
ADATA XPG Lancer Blade 16 GB,69.41,"5,5600","1,16",Black,46
G.Skill Ripjaws S5 32 GB,84.99,"5,5200","2,16",White,40
Patriot Viper Venom RGB 32 GB,97.99,"5,6000","1,32",Black / White,30
Patriot Viper Venom 32 GB,119.99,"5,7400","2,16",Black / White,36
Kingston FURY Beast RGB 16 GB,72.11,"5,5200","2,8",Black,36
G.Skill TridentZ RGB 32 GB,418,"4,4800","2,16",Black,20
G.Skill Ripjaws S5 64 GB,492.84,"5,6000","2,32",White,30
Kingston FURY Beast 16 GB,78.95,"5,6000","2,8",Black,30
Kingston ValueRAM 8 GB,25.99,"4,2666","1,8",Green / Black,19
G.Skill Ripjaws V 32 GB,79.98,"4,3600","2,16",Red / Black,19
PNY XLR8 Gaming EPIC-X RGB 32 GB,69.98,"4,3200","2,16",Black,16
Corsair Dominator Titanium 32 GB,179.99,"5,6000","2,16",Gray,30
Corsair Vengeance LPX 32 GB,129.99,"4,4000","2,16",Black / Yellow,18
Corsair Vengeance RGB Pro SL 64 GB,219.99,"4,3600","4,16",White,18
Corsair Vengeance RGB Pro 64 GB,219.99,"4,3600","4,16",Black,18
Corsair Dominator Titanium 48 GB,233.99,"5,6000","2,24",Black,30
Patriot Viper Xtreme 5 RGB 32 GB,146.99,"5,8000","2,16",Black,38
G.Skill Trident Z5 Neo RGB 32 GB,111.98,"5,5600","2,16",Black,28
Kingston Server Premier 16 GB,103.15,"4,3200","1,16",,22
GOODRAM IRDM PRO 32 GB,146.72,"4,3600","2,16",Black,18
TEAMGROUP T-Force Xtreem 32 GB,121.99,"5,7200","2,16",Pink,34
Corsair Vengeance RGB Pro SL 32 GB,140.99,"4,3200","2,16",White / Black,16
ADATA XPG LANCER RGB 32 GB,194.99,"5,6000","2,16",Black,30
G.Skill Trident Z5 RGB 48 GB,189.99,"5,7200","2,24",Black,36
Crucial Pro Overclocking 16 GB,80.68,"5,6000","1,16",Black,36
Kingston FURY Beast 32 GB,266.54,"5,4800","2,16",Black / Silver,38
G.Skill Trident Z Neo 64 GB,169.99,"4,3600","2,32",Silver / Black,18
Corsair Vengeance LPX 32 GB,82.89,"4,2400","2,16",Black / Yellow,16
G.Skill Ripjaws S5 32 GB,119.99,"5,6800","2,16",Black,34
Kingston FURY Beast 64 GB,220.99,"5,6000","2,32",Black / Silver,36
Corsair Dominator Titanium 64 GB,329.99,"5,6400","2,32",Black,32
Patriot Signature Line 16 GB,44.99,"4,3200","2,8",,19
Corsair Vengeance RGB 96 GB,349.85,"5,6400","2,48",Black / Silver,32
Patriot Viper Venom 32 GB,154.28,"5,6600","2,16",Black / White,34
Corsair Vengeance LPX 16 GB,80.98,"4,3600","1,16",Black,18
TEAMGROUP T-Create Expert 96 GB,345.99,"5,6800","2,48",Black,36
G.Skill Trident Z5 Neo RGB 48 GB,169.99,"5,6400","2,24",White / Black,32
Corsair Vengeance RGB 48 GB,213.99,"5,7600","2,24",Black,36
Corsair Vengeance LPX 32 GB,128.99,"4,3000","2,16",Black,16
Samsung Green 8 GB,23.99,"4,2133","1,8",Green / Black,15
ADATA XPG SPECTRIX D35G RGB 16 GB,88.26,"4,3600","2,8",Black,18
TEAMGROUP Elite 16 GB,37.99,"5,5600","1,16",Black,46
G.Skill Trident Z5 Neo RGB 64 GB,219.99,"5,6000","2,32",Black / Silver,32
Patriot Viper Elite 5 RGB 64 GB,179.99,"5,6200","2,32",White,42
Patriot Viper Venom RGB 16 GB,52.99,"5,6000","1,16",Black / White,30
G.Skill Trident Z5 RGB 48 GB,139.99,"5,6400","2,24",Black,36
Corsair Dominator Titanium 32 GB,209.99,"5,7000","2,16",Black,34
G.Skill Flare X5 32 GB,114.99,"5,6000","2,16",Black,30
G.Skill Ripjaws M5 RGB 32 GB,97.99,"5,6400","2,16",Black,36
Corsair Vengeance RGB RS 32 GB,137.99,"4,3200","2,16",Black / Gray,16
TEAMGROUP Elite 32 GB,78.98,"5,4800","2,16",Black,40
Corsair Vengeance RGB Pro SL 16 GB,59.99,"4,3600","2,8",White / Black,18
Corsair Vengeance LPX 16 GB,73.98,"4,3000","2,8",Black,16
Crucial CT8G4DFRA266 8 GB,18.98,"4,2666","1,8",Green,19
Corsair Dominator Titanium 48 GB,249.99,"5,7200","2,24",Black,36
Patriot Signature Premium 16 GB,42.99,"4,2666","2,8",Black,19
Thermaltake TOUGHRAM XG RGB D5 32 GB,154.98,"5,6000","2,16",Black / Silver,36
TEAMGROUP T-Create Classic 16 GB,39.99,"4,3200","2,8",Silver,22
Kingston FURY Beast 32 GB,143.27,"4,3600","1,32",Black,17
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,7200","2,16",Silver / Black,34
G.Skill Trident Z Neo 32 GB,94.99,"4,3600","2,16",Black / Silver,18
G.Skill Trident Z Royal 32 GB,119.99,"4,4000","2,16",Silver,18
G.Skill Ripjaws V 16 GB,52.99,"4,4000","2,8",Black,18
G.Skill Flare X5 64 GB,142.99,"5,5200","2,32",Black / White,36
Corsair Dominator Platinum RGB 64 GB,286.99,"5,5600","4,16",Black,36
Kingston FURY Renegade 32 GB,154.72,"4,3600","2,16",Silver / Black,16
Crucial CT32G4DFD832A 32 GB,97.98,"4,3200","1,32",Green / Black,22
Patriot Viper Venom 32 GB,73.98,"5,5600","1,32",Black / White,36
G.Skill Ripjaws V 32 GB,69.98,"4,2400","2,16",Red,15
Kingston FURY Beast RGB 64 GB,281.49,"5,6400","2,32",White,32
Kingston FURY Beast 8 GB,33.99,"5,5600","1,8",Black,40
Corsair Vengeance LPX 8 GB,36.99,"4,3000","1,8",Black,16
Corsair Dominator Platinum RGB 64 GB,299.99,"5,6600","2,32",Black,32
Corsair Vengeance LPX 8 GB,45.98,"4,3200","1,8",Black / Yellow,16
G.Skill Trident Z5 Neo RGB 48 GB,219.99,"5,8000","2,24",Black,40
Crucial CT2KIT51264BD160B 8 GB,20.89,"3,1600","2,4",Green,11
Corsair Vengeance RGB 32 GB,134.99,"5,7000","2,16",Black / Gray,36
G.Skill Trident Z5 Neo RGB 32 GB,124.99,"5,6000","2,16",Black,32
