name,price,speed,modules,color,cas_latency
G.Skill Trident Z5 Royal 32 GB,154.99,"5,6400","2,16",White,30
Kingston FURY Beast 32 GB,106.63,"5,5600","2,16",Black,36
Corsair Vengeance RGB 32 GB,96.99,"5,5200","2,16",White,40
TEAMGROUP T-Force Vulcan Z 32 GB,66.03,"4,3200","2,16",Gray,16
G.Skill Ripjaws V 32 GB,89.99,"4,3600","2,16",Black,16
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"4,3600","2,8",Black,18
G.Skill Trident Z RGB 16 GB,54.99,"4,3600","2,8",Black,18
Kingston FURY Beast RGB 32 GB,141.19,"5,6000","2,16",White,30
Corsair Vengeance 128 GB,372.99,"5,6400","2,64",Black,42
Corsair Vengeance RGB 16 GB,67.98,"5,5200","2,8",Black / Gray,40
Crucial CT2K8G48C40U5 16 GB,41.99,"5,4800","2,8",Black,40
G.Skill Trident Z5 Neo 64 GB,204.99,"5,6000","2,32",Black / Silver,30
Silicon Power XPOWER Pulse Gaming 32 GB,79.97,"5,6000","2,16",Black,36
Corsair Vengeance RGB 32 GB,147.99,"5,6000","2,16",Black,28
Silicon Power SP016GLLTU160N22 16 GB,16.95,"3,1600","2,8",Green,11
PNY XLR8 Gaming RGB 32 GB,94.99,"5,6000","2,16",Black,36
G.Skill Trident Z5 RGB 32 GB,139.99,"5,7200","2,16",Black,34
Kingston FURY Beast 8 GB,29.89,"4,3200","1,8",Black,16
Corsair Vengeance 32 GB,96.99,"5,5200","2,16",Black,40
TEAMGROUP T-Create Expert 32 GB,62.99,"4,3200","2,16",Gray,16
Silicon Power XPOWER Pulse Gaming 32 GB,84.99,"5,6400","2,16",Black,32
Corsair Dominator Titanium 96 GB,427.99,"5,7000","2,48",Black,40
Corsair Vengeance LPX 16 GB,91.99,"4,3600","2,8",Black,18
Corsair Vengeance RGB Pro 16 GB,97.91,"4,3200","2,8",White,16
Patriot Viper Venom 16 GB,52.99,"5,5200","2,8",Black / White,36
G.Skill Trident Z5 Royal 64 GB,259.99,"5,6400","2,32",Silver,32
Crucial Pro 64 GB,125.99,"4,3200","2,32",Black / Green,22
Corsair Dominator Titanium 96 GB,419.99,"5,6600","2,48",White,32
ADATA XPG Lancer Blade RGB 32 GB,134.99,"5,6000","2,16",Black,30
Corsair Vengeance RGB 128 GB,389.99,"5,6400","2,64",Black,42
Corsair Vengeance RGB 32 GB,144.99,"5,6000","2,16",White / Silver,30
Patriot Signature Line 32 GB,71.98,"5,4800","2,16",Black,40
Crucial CT2K16G48C40U5 32 GB,73.98,"5,4800","2,16",Black,40
G.Skill Trident Z5 Neo RGB 96 GB,414.99,"5,6000","2,48",Black,28
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6000","2,16",White,38
Crucial Pro Overclocking 64 GB,199.99,"5,6400","2,32",Black,40
G.Skill Trident Z5 Neo RGB 64 GB,254.99,"5,6000","2,32",Black,28
Corsair Vengeance RGB Pro 32 GB,82.99,"4,3200","2,16",Black,16
Corsair Vengeance 96 GB,324.99,"5,6000","2,48",Black / Silver,30
Corsair Vengeance LPX 8 GB,36.99,"4,2400","1,8",Black / Yellow,16
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"5,6000","2,32",Black,30
Lexar Ares RGB 32 GB,114.99,"5,6000","2,16",Black,30
Crucial CT2K8G4DFRA32A 16 GB,56.54,"4,3200","2,8",Green,22
Corsair Dominator Titanium 32 GB,179.99,"5,6000","2,16",Black,30
Crucial CT8G4DFS824A 8 GB,19.98,"4,2400","1,8",Green,17
Timetec PINNACLE Konduit 32 GB,59.99,"4,3200","2,16",White,16
Kingston FURY Beast RGB 64 GB,244.99,"5,6000","2,32",Black,30
Corsair Vengeance RGB 64 GB,217.99,"5,6000","2,32",Black,30
Corsair Vengeance 192 GB,614.99,"5,5200","4,48",Black,38
G.Skill Trident Z5 RGB 64 GB,254.99,"5,6800","2,32",Black,34
TEAMGROUP T-Force Vulcan 32 GB,82.99,"5,6000","2,16",Black,38
G.Skill Trident Z5 Neo 32 GB,116.99,"5,6000","2,16",Black,30
G.Skill Aegis 16 GB,44.99,"4,3200","2,8",Red / Black,16
PNY XLR8 32 GB,59.99,"4,3600","2,16",Black,18
TEAMGROUP Elite 16 GB,28.99,"4,2666","2,8",Black,19
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",Black,30
G.Skill Ripjaws S5 32 GB,89.99,"5,6000","2,16",Black,36
OLOy ND4U1632161DJ0DA 32 GB,69.99,"4,3200","2,16",Black,16
Corsair Vengeance RGB Pro 32 GB,142.99,"4,3200","2,16",White,16
ADATA XPG Lancer Blade 32 GB,152.21,"5,6000","2,16",Black,30
G.Skill Ripjaws V 32 GB,73.98,"4,3600","2,16",Black,18
Crucial Pro 64 GB,171.34,"5,6000","2,32",Black,40
Silicon Power XPOWER Turbine 16 GB,33.97,"4,3200","2,8",Blue,16
G.Skill Trident Z5 Royal Neo RGB 64 GB,259.99,"5,6000","2,32",Silver,30
Crucial CT16G48C40U5 16 GB,38.86,"5,4800","1,16",Black,40
Patriot Viper Steel 64 GB,164.99,"4,3600","2,32",Silver / Black,18
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",Black,30
Klevv FIT V 32 GB,84.99,"5,6000","2,16",White,32
TEAMGROUP T-Create Expert 32 GB,72.99,"5,6000","2,16",White,38
Kingston FURY Beast RGB 16 GB,75.98,"5,6000","2,8",Black,36
Corsair Vengeance 32 GB,114.99,"5,6400","2,16",Black,32
Corsair Vengeance RGB 96 GB,349.99,"5,6000","2,48",Black / Silver,30
Corsair Vengeance RGB 32 GB,194.99,"5,8000","2,16",Black / Gray,36
Corsair Vengeance LPX 32 GB,160.99,"4,3600","2,16",Black / Yellow,18
Patriot Viper Xtreme 5 32 GB,134.99,"5,8200","2,16",Black,38
TEAMGROUP T-Force Delta RGB 32 GB,136.69,"4,3600","2,16",Black,18
G.Skill Ripjaws V 16 GB,45.99,"4,3600","2,8",Black,18
G.Skill Trident Z Neo 32 GB,99.99,"4,3600","2,16",Black / Silver,16
Timetec PINNACLE Konduit 32 GB,59.99,"4,3200","2,16",Black,16
Patriot Viper Venom RGB 32 GB,90.99,"5,6000","2,16",Black / Silver,30
Kingston FURY Beast 128 GB,402.99,"5,5600","4,32",White,40
Corsair Vengeance 48 GB,179.99,"5,6000","2,24",Black / Gray,30
Kingston FURY Beast 16 GB,64.99,"5,5600","2,8",Black / Silver,36
G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,"5,6000","2,48",Silver,28
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"5,6400","2,16",Black,32
G.Skill Ripjaws S5 96 GB,284.99,"5,6400","2,48",Black,32
TEAMGROUP T-Force Delta RGB 32 GB,74.94,"4,3200","2,16",Black,16
G.Skill Trident Z5 RGB 32 GB,95.98,"5,6000","2,16",Black,36
Silicon Power SP016GBLFU320B22 16 GB,39.97,"4,3200","2,8",,22
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",White,30
G.Skill Ripjaws S5 32 GB,99.99,"5,5600","2,16",Black,28
Corsair Vengeance LPX 64 GB,128.99,"4,3600","2,32",Black,18
Patriot Viper Venom 32 GB,114.99,"5,7000","2,16",Black / White,32
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"5,6400","2,16",White,32
G.Skill Aegis 32 GB,69.98,"4,3200","2,16",Red / Black,16
TEAMGROUP T-Create Expert 32 GB,89.99,"5,6400","2,16",Black,32
Kingston FURY Beast RGB 64 GB,239.99,"5,6000","2,32",White,30
Lexar THOR OC 32 GB,104.99,"5,6000","2,16",Black / Gold,32
Silicon Power XPOWER Zenith RGB Gaming 64 GB,169.99,"5,6000","2,32",White,30
Corsair Vengeance 64 GB,219.99,"5,6000","2,32",Black / Gray,30
TEAMGROUP T-Create Expert 64 GB,176.99,"5,6000","2,32",Black,34
Corsair Vengeance RGB 32 GB,144.99,"5,6000","2,16",Black / Gray,30
Kingston FURY Beast 128 GB,339.99,"5,5600","2,64",Black,36
Patriot Viper Venom 16 GB,49.99,"5,6400","2,8",Black / Red,32
Timetec PINNACLE Konduit 16 GB,31.99,"4,3200","2,8",White,16
G.Skill Trident Z5 RGB 64 GB,159.99,"5,6000","2,32",Black,36
Corsair Dominator Titanium 64 GB,299.99,"5,6000","2,32",White,30
Patriot Viper Venom 16 GB,48.99,"5,6000","1,16",Black / White,30
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",White,30
Corsair Vengeance RGB 64 GB,244.99,"5,6400","2,32",Black / Gray,32
Corsair Vengeance 64 GB,149.99,"5,5600","2,32",Black,40
G.Skill Trident Z RGB 32 GB,105.53,"4,3200","2,16",Black,16
Kingston KCP424NS6/4 4 GB,9.99,"4,2400","1,4",Green / Black,17
G.Skill Trident Z5 Royal 48 GB,279.99,"5,8400","2,24",Silver,40
Corsair Vengeance LPX 32 GB,85.88,"4,3600","2,16",Black / Yellow,16
G.Skill Trident Z5 RGB 48 GB,214.99,"5,8000","2,24",Black,40
Corsair Vengeance 128 GB,540.99,"5,5600","4,32",Black,40
Kingston FURY Beast RGB 128 GB,399.99,"5,5200","4,32",Black,40
G.Skill Flare X5 32 GB,104.99,"5,6000","2,16",Black,32
TEAMGROUP Elite 32 GB,78.98,"4,3200","2,16",Black,22
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6000","2,16",Black,38
ADATA XPG SPECTRIX D35G RGB 16 GB,54.99,"4,3200","2,8",Black,16
Crucial Pro 32 GB,94.99,"5,6400","2,16",White,38
G.Skill Trident Z RGB 64 GB,149.99,"4,3600","2,32",Black,18
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",Gray,16
Patriot Viper Venom 64 GB,159.99,"5,6000","2,32",Black / White,36
Corsair Vengeance RGB 32 GB,121.99,"5,6000","2,16",White,40
Crucial CT51264BA160B 4 GB,10.29,"3,1600","1,4",Green,11
Corsair Vengeance LPX 16 GB,85.99,"4,3000","2,8",Black / Yellow,15
Silicon Power XPOWER Turbine 32 GB,60.99,"4,3200","2,16",Blue,16
TEAMGROUP T-Force Delta RGB 16 GB,77.99,"5,6000","2,8",White,38
Corsair Dominator Titanium 64 GB,319.99,"5,6000","2,32",Black,30
G.Skill Ripjaws S5 32 GB,109.99,"5,6400","2,16",Black,32
G.Skill Flare X5 96 GB,184.99,"5,5200","2,48",Black,40
Klevv BOLT V 32 GB,93.99,"5,6000","2,16",Black,30
G.Skill Ripjaws M5 Neo RGB 32 GB,94.99,"5,6000","2,16",Black,36
Corsair Vengeance RGB 32 GB,117.99,"5,6400","2,16",Black / Gray,32
Corsair Vengeance 32 GB,135.99,"5,6000","2,16",Black,28
TEAMGROUP Vulcan Z 16 GB,42.99,"4,3600","2,8",Black,18
Silicon Power GAMING 16 GB,37.97,"4,3600","2,8",Gray / Silver,18
TEAMGROUP T-Create Expert 96 GB,291.99,"5,6400","2,48",Black / Gold,32
G.Skill Ripjaws S5 32 GB,84.99,"5,5200","2,16",Black,40
Corsair Vengeance RGB 64 GB,184.99,"5,6000","2,32",Black,40
TEAMGROUP T-Create Expert 32 GB,110.99,"5,7200","2,16",Black,34
Corsair Vengeance 96 GB,329.99,"5,6400","2,48",Black,32
Patriot Signature Line 16 GB,34.99,"5,4800","1,16",Black,40
Corsair Vengeance RGB 64 GB,277.99,"5,6400","2,32",White,32
Crucial CT2K64G56C46U5 128 GB,279.99,"5,5600","2,64",Black,46
G.Skill Trident Z RGB 16 GB,54.99,"4,3200","2,8",Black,16
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6400","2,16",Black,40
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"5,6000","2,32",White,30
Kingston FURY Beast RGB 128 GB,349.99,"5,5600","2,64",Black,36
Patriot Viper Venom 16 GB,48.99,"5,6000","2,8",Black / Silver,36
